Date,SRI_Forecast,Resort
2026-01-04,0.0857515137743117,Cabramurra SMHEA AWS
2026-01-11,0.042345892529772874,Cabramurra SMHEA AWS
2026-01-18,0.04070232096662592,Cabramurra SMHEA AWS
2026-01-25,0.011064084402532428,Cabramurra SMHEA AWS
2026-02-01,0.014529129917832674,Cabramurra SMHEA AWS
2026-02-08,0.013723654529878884,Cabramurra SMHEA AWS
2026-02-15,0.0325931659064018,Cabramurra SMHEA AWS
2026-02-22,0.02269166683277479,Cabramurra SMHEA AWS
2026-03-01,0.0115979579930515,Cabramurra SMHEA AWS
2026-03-08,0.021661354100066307,Cabramurra SMHEA AWS
2026-03-15,0.03249797847121196,Cabramurra SMHEA AWS
2026-03-22,0.03479243481785679,Cabramurra SMHEA AWS
2026-03-29,0.05236560874655833,Cabramurra SMHEA AWS
2026-04-05,0.06413245464714601,Cabramurra SMHEA AWS
2026-04-12,0.07558214373310608,Cabramurra SMHEA AWS
2026-04-19,0.08699906716451043,Cabramurra SMHEA AWS
2026-04-26,0.10644311410763801,Cabramurra SMHEA AWS
2026-05-03,0.14482954867213793,Cabramurra SMHEA AWS
2026-05-10,0.1697057558719068,Cabramurra SMHEA AWS
2026-05-17,0.14085299925875572,Cabramurra SMHEA AWS
2026-05-24,0.20984875115673232,Cabramurra SMHEA AWS
2026-05-31,0.1963324725396497,Cabramurra SMHEA AWS
2026-06-07,0.26682983346488715,Cabramurra SMHEA AWS
2026-06-14,0.24575269198679484,Cabramurra SMHEA AWS
2026-06-21,0.34182944686971845,Cabramurra SMHEA AWS
2026-06-28,0.3355208628471309,Cabramurra SMHEA AWS
2026-07-05,0.34556526376011804,Cabramurra SMHEA AWS
2026-07-12,0.3382031086041641,Cabramurra SMHEA AWS
2026-07-19,0.35552578187773043,Cabramurra SMHEA AWS
2026-07-26,0.34245330125041085,Cabramurra SMHEA AWS
2026-08-02,0.3765650871803066,Cabramurra SMHEA AWS
2026-08-09,0.37416652280845825,Cabramurra SMHEA AWS
2026-08-16,0.3711472050255029,Cabramurra SMHEA AWS
2026-08-23,0.36022709780898327,Cabramurra SMHEA AWS
2026-08-30,0.3130342005027892,Cabramurra SMHEA AWS
2026-09-06,0.296120434307818,Cabramurra SMHEA AWS
2026-09-13,0.22931201462965073,Cabramurra SMHEA AWS
2026-09-20,0.19060673125477437,Cabramurra SMHEA AWS
2026-09-27,0.20483580995150022,Cabramurra SMHEA AWS
2026-10-04,0.17396997299062675,Cabramurra SMHEA AWS
2026-10-11,0.22698685857324616,Cabramurra SMHEA AWS
2026-10-18,0.11493981230791199,Cabramurra SMHEA AWS
2026-10-25,0.11305093448979103,Cabramurra SMHEA AWS
2026-11-01,0.0626251200183134,Cabramurra SMHEA AWS
2026-11-08,0.060583273096812086,Cabramurra SMHEA AWS
2026-11-15,0.06042802682045493,Cabramurra SMHEA AWS
2026-11-22,0.09866153862069624,Cabramurra SMHEA AWS
2026-11-29,0.11574066575374023,Cabramurra SMHEA AWS
2026-12-06,0.06810533778608144,Cabramurra SMHEA AWS
2026-12-13,0.0490834099621214,Cabramurra SMHEA AWS
2026-12-20,0.030237310908839056,Cabramurra SMHEA AWS
2026-12-27,0.02898612429989169,Cabramurra SMHEA AWS
2026-01-04,0.14609242822147409,Falls Creek
2026-01-11,0.10869860755167388,Falls Creek
2026-01-18,0.031493551534534536,Falls Creek
2026-01-25,0.022145556397349293,Falls Creek
2026-02-01,0.021580917173283084,Falls Creek
2026-02-08,0.016735558184521063,Falls Creek
2026-02-15,0.03239753854863856,Falls Creek
2026-02-22,0.030376185790746378,Falls Creek
2026-03-01,0.012525342947731893,Falls Creek
2026-03-08,0.01978207672245767,Falls Creek
2026-03-15,0.036466662282347455,Falls Creek
2026-03-22,0.032949951012435565,Falls Creek
2026-03-29,0.06396781711767502,Falls Creek
2026-04-05,0.07248659979328125,Falls Creek
2026-04-12,0.1046066945259805,Falls Creek
2026-04-19,0.09559059960244408,Falls Creek
2026-04-26,0.08662369295753716,Falls Creek
2026-05-03,0.1892708666538316,Falls Creek
2026-05-10,0.1519925796214629,Falls Creek
2026-05-17,0.17656557682617013,Falls Creek
2026-05-24,0.17706634114022277,Falls Creek
2026-05-31,0.2208506239323258,Falls Creek
2026-06-07,0.2631271006243523,Falls Creek
2026-06-14,0.23347663926421675,Falls Creek
2026-06-21,0.38258774588925926,Falls Creek
2026-06-28,0.31152524744741444,Falls Creek
2026-07-05,0.3277892066005071,Falls Creek
2026-07-12,0.3405058299120983,Falls Creek
2026-07-19,0.35031804188421894,Falls Creek
2026-07-26,0.3392633978072604,Falls Creek
2026-08-02,0.3591957632582551,Falls Creek
2026-08-09,0.33997902710642347,Falls Creek
2026-08-16,0.39189292394356606,Falls Creek
2026-08-23,0.36134909532000914,Falls Creek
2026-08-30,0.30033884758740953,Falls Creek
2026-09-06,0.30130592665112244,Falls Creek
2026-09-13,0.22495362107146596,Falls Creek
2026-09-20,0.1956116356552053,Falls Creek
2026-09-27,0.19835307984400197,Falls Creek
2026-10-04,0.2164232566400778,Falls Creek
2026-10-11,0.19819388145434216,Falls Creek
2026-10-18,0.17045228919202773,Falls Creek
2026-10-25,0.11927540574712511,Falls Creek
2026-11-01,0.06297764071230026,Falls Creek
2026-11-08,0.05883239774896092,Falls Creek
2026-11-15,0.05943262388156235,Falls Creek
2026-11-22,0.08413819257350445,Falls Creek
2026-11-29,0.09507149196712646,Falls Creek
2026-12-06,0.08725335801013993,Falls Creek
2026-12-13,0.08692563461591062,Falls Creek
2026-12-20,0.05508199751419508,Falls Creek
2026-12-27,0.032565211487739776,Falls Creek
2026-01-04,0.08695256464543123,Mount Baw Baw
2026-01-11,0.04231058420782918,Mount Baw Baw
2026-01-18,0.04090676646138084,Mount Baw Baw
2026-01-25,0.010940968181119084,Mount Baw Baw
2026-02-01,0.01453836119630887,Mount Baw Baw
2026-02-08,0.014391520956862941,Mount Baw Baw
2026-02-15,0.034421935052167875,Mount Baw Baw
2026-02-22,0.028313305887576,Mount Baw Baw
2026-03-01,0.009526726046444209,Mount Baw Baw
2026-03-08,0.020736568363807096,Mount Baw Baw
2026-03-15,0.032065686694359684,Mount Baw Baw
2026-03-22,0.035038866624199,Mount Baw Baw
2026-03-29,0.05027808332593486,Mount Baw Baw
2026-04-05,0.07419215829889504,Mount Baw Baw
2026-04-12,0.06761085002750825,Mount Baw Baw
2026-04-19,0.09297942266195137,Mount Baw Baw
