Resort,Date,Snowfall_cm,Snow_Retention,Snow_Consistency,Snow_Availability,SRI,Week,sin_week,cos_week,SRI_lag1,SRI_lag2
Cabramurra SMHEA AWS,2014-01-05,0.0,0.0002597772340670858,0.025498405614746544,0.0,0.0051776142931694346,1,0.12053668025532305,0.992708874098054,,
Cabramurra SMHEA AWS,2014-01-12,0.0,0.0001789013934829844,0.0763344666642793,0.0,0.015320563750900757,2,0.23931566428755774,0.970941817426052,0.0051776142931694346,
Cabramurra SMHEA AWS,2014-01-19,0.0,5.254593149080163e-07,0.00018212465167669273,0.0,3.6582568129810954e-05,3,0.3546048870425356,0.9350162426854148,0.015320563750900757,0.0051776142931694346
Cabramurra SMHEA AWS,2014-01-26,0.0,0.0003249332170341067,0.020276632723026093,0.0,0.0041528065097154515,4,0.4647231720437685,0.8854560256532099,3.6582568129810954e-05,0.015320563750900757
Cabramurra SMHEA AWS,2014-02-02,0.0,2.484564579814568e-06,0.0009627348187571052,0.0,0.00019329233312536542,5,0.5680647467311558,0.8229838658936564,0.0041528065097154515,3.6582568129810954e-05
Cabramurra SMHEA AWS,2014-02-09,0.0,2.714014539984958e-05,0.02347393008206739,0.0,0.004702928060033433,6,0.6631226582407952,0.7485107481711011,0.00019329233312536542,0.0041528065097154515
Cabramurra SMHEA AWS,2014-02-16,0.0,0.0001026410013086111,0.0010840526700561552,0.0,0.00024760283440381436,7,0.7485107481711011,0.6631226582407953,0.004702928060033433,0.00019329233312536542
Cabramurra SMHEA AWS,2014-02-23,0.0,0.0005613834176528646,0.06194360253830956,0.0,0.01255713553295777,8,0.8229838658936564,0.5680647467311558,0.00024760283440381436,0.004702928060033433
Cabramurra SMHEA AWS,2014-03-02,0.0,0.00019243083258942126,0.005017995794063966,0.0,0.0010613284085896199,9,0.8854560256532098,0.4647231720437686,0.01255713553295777,0.00024760283440381436
Cabramurra SMHEA AWS,2014-03-09,0.0,5.267607584844871e-05,0.004537607375977288,0.0,0.0009233242979499924,10,0.9350162426854148,0.35460488704253557,0.0010613284085896199,0.01255713553295777
Cabramurra SMHEA AWS,2014-03-16,0.0,0.004477483135588303,0.013904524992205831,0.0,0.0041241499391176575,11,0.970941817426052,0.23931566428755804,0.0009233242979499924,0.0010613284085896199
Cabramurra SMHEA AWS,2014-03-23,0.0,0.0005364119555287526,0.040390569291113954,0.0,0.008239037444881418,12,0.992708874098054,0.120536680255323,0.0041241499391176575,0.0009233242979499924
Cabramurra SMHEA AWS,2014-03-30,0.0,0.00118860400007597,0.013251744257301497,0.0,0.003006930051483091,13,1.0,-1.6081226496766366e-16,0.008239037444881418,0.0041241499391176575
Cabramurra SMHEA AWS,2014-04-06,0.0,0.001923733233996871,0.015778572261085096,0.0,0.003732834422416081,14,0.992708874098054,-0.12053668025532288,0.003006930051483091,0.008239037444881418
Cabramurra SMHEA AWS,2014-04-13,0.0,0.001646514467459759,0.03905785495504209,0.0,0.008305525331246346,15,0.9709418174260521,-0.2393156642875575,0.003732834422416081,0.003006930051483091
Cabramurra SMHEA AWS,2014-04-20,0.0,0.007606207424589568,0.22048198255867218,0.0,0.04637825873911131,16,0.9350162426854148,-0.35460488704253545,0.008305525331246346,0.003732834422416081
Cabramurra SMHEA AWS,2014-04-27,0.0,0.00404387162335699,0.1293134428253,0.0,0.0270758500520671,17,0.8854560256532099,-0.4647231720437685,0.04637825873911131,0.008305525331246346
Cabramurra SMHEA AWS,2014-05-04,6.0,0.09492634633871215,0.2785396854731156,0.025,0.09668584099623675,18,0.8229838658936565,-0.5680647467311557,0.0270758500520671,0.04637825873911131
Cabramurra SMHEA AWS,2014-05-11,0.0,0.047519154393513396,0.41292056325694854,0.0,0.09683985896944372,19,0.7485107481711013,-0.6631226582407951,0.09668584099623675,0.0270758500520671
Cabramurra SMHEA AWS,2014-05-18,0.0,0.004834446588850227,0.08135860194848796,0.0,0.01772205436635266,20,0.6631226582407952,-0.7485107481711012,0.09683985896944372,0.09668584099623675
Cabramurra SMHEA AWS,2014-05-25,0.0,0.008429609633009883,0.05026286075998755,0.0,0.012581455041900476,21,0.5680647467311558,-0.8229838658936564,0.01772205436635266,0.09683985896944372
Cabramurra SMHEA AWS,2014-06-01,0.0,0.01726462496843691,0.12644387999034226,0.0,0.03046816348859953,22,0.46472317204376906,-0.8854560256532096,0.012581455041900476,0.01772205436635266
Cabramurra SMHEA AWS,2014-06-08,0.0,0.04013517737374283,0.2960581455018981,0.0,0.07125218231250247,23,0.35460488704253584,-0.9350162426854147,0.03046816348859953,0.012581455041900476
Cabramurra SMHEA AWS,2014-06-15,0.0,0.038360783654554975,0.33070356472275614,0.0,0.07764894804091772,24,0.23931566428755768,-0.970941817426052,0.07125218231250247,0.03046816348859953
Cabramurra SMHEA AWS,2014-06-22,0.0,0.05578342583275978,0.3391931601233583,0.0,0.0845736597744996,25,0.12053668025532308,-0.992708874098054,0.07764894804091772,0.07125218231250247
Cabramurra SMHEA AWS,2014-06-29,68.8,0.32047991368312256,0.5917988231838418,0.2866666666666667,0.35783707207503845,26,-3.216245299353273e-16,-1.0,0.0845736597744996,0.07764894804091772
Cabramurra SMHEA AWS,2014-07-06,38.7,0.24301515274503957,0.5838221060481233,0.16125,0.2702939670331365,27,-0.12053668025532283,-0.992708874098054,0.35783707207503845,0.0845736597744996
Cabramurra SMHEA AWS,2014-07-13,41.6,0.3649493872167558,0.7251809673902249,0.17333333333333334,0.3411876763097384,28,-0.23931566428755743,-0.9709418174260521,0.2702939670331365,0.35783707207503845
Cabramurra SMHEA AWS,2014-07-20,19.0,0.2610986675902308,0.642122968038468,0.07916666666666666,0.2463375272180962,29,-0.3546048870425356,-0.9350162426854148,0.3411876763097384,0.2702939670331365
